feature_id,module,section,feature_name,reg_match,reg_name,confidence,status
ADM-DASH-001,Admin,DASH,Platform KPIs,ADM-001,Admin Workspace,review
ADM-DASH-002,Admin,DASH,Live Order Feed,ADM-002,Global Search,review
ADM-DASH-003,Admin,DASH,Vendor Activity Status,ADM-003,Users,review
ADM-DASH-004,Admin,DASH,Rider Activity Status,ADM-004,User Detail,review
ADM-DASH-005,Admin,DASH,System Alerts,ADM-005,Organizations,review
ADM-DASH-006,Admin,DASH,Pending Approvals,ADM-006,Organization Detail,review
ADM-DASH-007,Admin,DASH,Revenue Summary,ADM-007,Merchants,review
ADM-DASH-008,Admin,DASH,Recent Activity,ADM-008,Merchant Detail,review
ADM-DASH-009,Admin,DASH,Quick Actions,ADM-009,Riders,review
ADM-ORD-001,Admin,ORD,View Orders,ADM-001,Admin Workspace,match
ADM-ORD-002,Admin,ORD,Search Orders,ADM-002,Global Search,match
ADM-ORD-003,Admin,ORD,Filter Orders,ADM-003,Users,review
ADM-ORD-004,Admin,ORD,Order Details,ADM-004,User Detail,review
ADM-ORD-005,Admin,ORD,Order Timeline,ADM-005,Organizations,review
ADM-ORD-006,Admin,ORD,Refund Approval,ADM-006,Organization Detail,review
ADM-ORD-007,Admin,ORD,Order Escalation,ADM-007,Merchants,review
ADM-ORD-008,Admin,ORD,Order Cancellation,ADM-008,Merchant Detail,review
ADM-ORD-009,Admin,ORD,Order Audit History,ADM-009,Riders,review
ADM-ORD-010,Admin,ORD,Order Reporting,ADM-010,Rider Detail,review
ADM-VEN-001,Admin,VEN,Vendor Directory,ADM-001,Admin Workspace,review
ADM-VEN-002,Admin,VEN,Vendor Approval,ADM-002,Global Search,review
ADM-VEN-003,Admin,VEN,Vendor Suspension,ADM-003,Users,review
ADM-VEN-004,Admin,VEN,Vendor Reactivation,ADM-004,User Detail,review
ADM-VEN-005,Admin,VEN,Vendor Performance,ADM-005,Organizations,review
ADM-VEN-006,Admin,VEN,Vendor Compliance Status,ADM-006,Organization Detail,review
ADM-VEN-007,Admin,VEN,Vendor Documents,ADM-007,Merchants,review
ADM-VEN-008,Admin,VEN,Vendor Analytics,ADM-008,Merchant Detail,review
ADM-RID-001,Admin,RID,Rider Directory,ADM-001,Admin Workspace,review
ADM-RID-002,Admin,RID,Rider Verification,ADM-002,Global Search,review
ADM-RID-003,Admin,RID,Rider Tracking,ADM-003,Users,review
ADM-RID-004,Admin,RID,Rider Performance,ADM-004,User Detail,review
ADM-RID-005,Admin,RID,Rider Suspension,ADM-005,Organizations,review
ADM-RID-006,Admin,RID,Incident Monitoring,ADM-006,Organization Detail,review
ADM-RID-007,Admin,RID,Rider Documents,ADM-007,Merchants,review
ADM-HST-001,Admin,HST,Host Directory,ADM-001,Admin Workspace,review
ADM-HST-002,Admin,HST,Host Verification,ADM-002,Global Search,review
ADM-HST-003,Admin,HST,Property Summary,ADM-003,Users,review
ADM-HST-004,Admin,HST,Commission Monitoring,ADM-004,User Detail,review
ADM-HST-005,Admin,HST,Host Compliance,ADM-005,Organizations,review
ADM-GST-001,Admin,GST,Guest Directory,ADM-001,Admin Workspace,review
ADM-GST-002,Admin,GST,Guest Activity,ADM-002,Global Search,review
ADM-GST-003,Admin,GST,Guest Account Management,ADM-003,Users,review
ADM-GST-004,Admin,GST,Guest Analytics,ADM-004,User Detail,review
ADM-CMP-001,Admin,CMP,Campaign Directory,ADM-001,Admin Workspace,review
ADM-CMP-002,Admin,CMP,Campaign Creation,ADM-002,Global Search,review
ADM-CMP-003,Admin,CMP,Campaign Scheduling,ADM-003,Users,review
ADM-CMP-004,Admin,CMP,Campaign Approval,ADM-004,User Detail,review
ADM-CMP-005,Admin,CMP,Campaign Analytics,ADM-005,Organizations,review
ADM-STF-001,Admin,STF,Employee Directory,ADM-001,Admin Workspace,review
ADM-STF-002,Admin,STF,Employee Creation,ADM-002,Global Search,review
ADM-STF-003,Admin,STF,Role Management,ADM-003,Users,review
ADM-STF-004,Admin,STF,Permission Management,ADM-004,User Detail,review
ADM-STF-005,Admin,STF,Access Reviews,ADM-005,Organizations,review
ADM-STF-006,Admin,STF,Employee Activity,ADM-006,Organization Detail,review
ADM-FIN-001,Admin,FIN,Revenue Dashboard,ADM-001,Admin Workspace,review
ADM-FIN-002,Admin,FIN,Commission Monitoring,ADM-002,Global Search,review
ADM-FIN-003,Admin,FIN,Settlement Monitoring,ADM-003,Users,review
ADM-FIN-004,Admin,FIN,Refund Monitoring,ADM-004,User Detail,review
ADM-FIN-005,Admin,FIN,Financial Reports,ADM-005,Organizations,review
ADM-FIN-006,Admin,FIN,Financial Audit,ADM-006,Organization Detail,review
ADM-INV-001,Admin,INV,Invoice Directory,ADM-001,Admin Workspace,review
ADM-INV-002,Admin,INV,Invoice Generation,ADM-002,Global Search,review
ADM-INV-003,Admin,INV,Invoice Export,ADM-003,Users,review
ADM-CAT-001,Admin,CAT,Category Management,ADM-001,Admin Workspace,review
ADM-CAT-002,Admin,CAT,Category Visibility,ADM-002,Global Search,review
ADM-CAT-003,Admin,CAT,Category Relationships,ADM-003,Users,review
ADM-CPL-001,Admin,CPL,Merchant Compliance,ADM-001,Admin Workspace,review
ADM-CPL-002,Admin,CPL,Host Compliance,ADM-002,Global Search,review
ADM-CPL-003,Admin,CPL,Rider Compliance,ADM-003,Users,review
ADM-CPL-004,Admin,CPL,Document Verification,ADM-004,User Detail,review
ADM-CPL-005,Admin,CPL,Compliance Alerts,ADM-005,Organizations,review
ADM-CPL-006,Admin,CPL,Audit Reports,ADM-006,Organization Detail,review
ADM-PAY-001,Admin,PAY,Payroll Processing,ADM-001,Admin Workspace,review
ADM-PAY-002,Admin,PAY,Payment Status,ADM-002,Global Search,review
ADM-PAY-003,Admin,PAY,Salary Records,ADM-003,Users,review
ADM-PAY-004,Admin,PAY,Payroll Reports,ADM-004,User Detail,review
ADM-TAX-001,Admin,TAX,Tax Configuration,ADM-028,Tax Configuration,match
ADM-TAX-002,Admin,TAX,VAT Configuration,ADM-028,Tax Configuration,review
ADM-TAX-003,Admin,TAX,Tax Reports,ADM-003,Users,match
ADM-TAX-004,Admin,TAX,KRA PIN Validation,ADM-004,User Detail,review
ADM-TAX-005,Admin,TAX,Settlement Tax Records,ADM-005,Organizations,review
ADM-RPT-001,Admin,RPT,Operational Reports,ADM-001,Admin Workspace,review
ADM-RPT-002,Admin,RPT,Financial Reports,ADM-002,Global Search,review
ADM-RPT-003,Admin,RPT,Merchant Reports,ADM-003,Users,review
ADM-RPT-004,Admin,RPT,Property Reports,ADM-004,User Detail,review
ADM-RPT-005,Admin,RPT,Rider Reports,ADM-005,Organizations,review
ADM-RPT-006,Admin,RPT,Export Management,ADM-006,Organization Detail,review
ADM-ANA-001,Admin,ANA,Revenue Analytics,ADM-001,Admin Workspace,review
ADM-ANA-002,Admin,ANA,Order Analytics,ADM-002,Global Search,review
ADM-ANA-003,Admin,ANA,Merchant Analytics,ADM-003,Users,review
ADM-ANA-004,Admin,ANA,Delivery Analytics,ADM-004,User Detail,review
ADM-ANA-005,Admin,ANA,Customer Analytics,ADM-005,Organizations,review
ADM-ANA-006,Admin,ANA,Platform Growth,ADM-006,Organization Detail,review
ADM-NOT-001,Admin,NOT,Announcement Management,ADM-001,Admin Workspace,review
ADM-NOT-002,Admin,NOT,Notification Templates,ADM-002,Global Search,review
ADM-NOT-003,Admin,NOT,Notification History,ADM-003,Users,review
ADM-NOT-004,Admin,NOT,Delivery Monitoring,ADM-004,User Detail,review
ADM-SUP-001,Admin,SUP,Support Tickets,ADM-001,Admin Workspace,review
ADM-SUP-002,Admin,SUP,Ticket Assignment,ADM-002,Global Search,review
ADM-SUP-003,Admin,SUP,Escalation Management,ADM-003,Users,review
ADM-SUP-004,Admin,SUP,Vendor Disputes,ADM-004,User Detail,review
ADM-SUP-005,Admin,SUP,Rider Disputes,ADM-005,Organizations,review
ADM-SUP-006,Admin,SUP,Support Analytics,ADM-006,Organization Detail,review
ADM-SET-001,Admin,SET,General Settings,ADM-001,Admin Workspace,review
ADM-SET-002,Admin,SET,Commission Rules,ADM-002,Global Search,review
ADM-SET-003,Admin,SET,Platform Fees,ADM-003,Users,review
ADM-SET-004,Admin,SET,Security Settings,ADM-004,User Detail,review
ADM-SET-005,Admin,SET,Notification Settings,ADM-005,Organizations,review
ADM-SET-006,Admin,SET,Integration Settings,ADM-006,Organization Detail,review
ADM-SET-007,Admin,SET,System Settings,ADM-007,Merchants,review
VEN-DASH-001,Vendor,DASH,Business KPIs,MRC-001,Merchant Sign In,unmapped
VEN-DASH-002,Vendor,DASH,Live Orders Feed,MRC-002,Sign Up,unmapped
VEN-DASH-003,Vendor,DASH,Inventory Alerts,MRC-003,Business Information,unmapped
VEN-DASH-004,Vendor,DASH,Promotion Performance,MRC-004,Business Verification,unmapped
VEN-DASH-005,Vendor,DASH,Customer Activity,MRC-005,Document Submission,unmapped
VEN-DASH-006,Vendor,DASH,Revenue Summary,MRC-006,Location Setup,unmapped
VEN-DASH-007,Vendor,DASH,Quick Actions,MRC-007,Payment Setup,unmapped
VEN-DASH-008,Vendor,DASH,Recent Notifications,MRC-008,Catalog Setup,unmapped
VEN-ORD-001,Vendor,ORD,New Orders Queue,MRC-001,Merchant Sign In,unmapped
VEN-ORD-002,Vendor,ORD,Accept Order,MRC-002,Sign Up,unmapped
VEN-ORD-003,Vendor,ORD,Reject Order,MRC-003,Business Information,unmapped
VEN-ORD-004,Vendor,ORD,Active Orders Pipeline,MRC-004,Business Verification,unmapped
VEN-ORD-005,Vendor,ORD,Order Preparation,MRC-005,Document Submission,unmapped
VEN-ORD-006,Vendor,ORD,Ready for Pickup,MRC-006,Location Setup,unmapped
VEN-ORD-007,Vendor,ORD,Order Details,MRC-007,Payment Setup,unmapped
VEN-ORD-008,Vendor,ORD,Order Timeline,MRC-008,Catalog Setup,unmapped
VEN-ORD-009,Vendor,ORD,Order Search,MRC-009,Onboarding Review,unmapped
VEN-ORD-010,Vendor,ORD,Order Filters,MRC-010,Onboarding Complete,unmapped
VEN-ORD-011,Vendor,ORD,Order Notes,MRC-011,Merchant Workspace,unmapped
VEN-ORD-012,Vendor,ORD,Issue Reporting,MRC-012,Workspace Search,unmapped
VEN-PROD-001,Vendor,PROD,Create Product,MRC-001,Merchant Sign In,unmapped
VEN-PROD-002,Vendor,PROD,Edit Product,MRC-002,Sign Up,unmapped
VEN-PROD-003,Vendor,PROD,Delete Product,MRC-003,Business Information,unmapped
VEN-PROD-004,Vendor,PROD,Duplicate Product,MRC-004,Business Verification,unmapped
VEN-PROD-005,Vendor,PROD,Product Images,MRC-005,Document Submission,unmapped
VEN-PROD-006,Vendor,PROD,Product Variants,MRC-006,Location Setup,unmapped
VEN-PROD-007,Vendor,PROD,Product Modifiers,MRC-007,Payment Setup,unmapped
VEN-PROD-008,Vendor,PROD,Product Availability,MRC-008,Catalog Setup,unmapped
VEN-PROD-009,Vendor,PROD,Product Pricing,MRC-009,Onboarding Review,unmapped
VEN-PROD-010,Vendor,PROD,Product Listing,MRC-010,Onboarding Complete,unmapped
VEN-PROD-011,Vendor,PROD,Featured Products,MRC-011,Merchant Workspace,unmapped
VEN-PROD-012,Vendor,PROD,Product Scheduling,MRC-012,Workspace Search,unmapped
VEN-INV-001,Vendor,INV,Stock Levels,MRC-001,Merchant Sign In,unmapped
VEN-INV-002,Vendor,INV,Update Quantity,MRC-002,Sign Up,unmapped
VEN-INV-003,Vendor,INV,Mark Out of Stock,MRC-003,Business Information,unmapped
VEN-INV-004,Vendor,INV,Low Stock Alerts,MRC-004,Business Verification,unmapped
VEN-INV-005,Vendor,INV,Inventory Adjustments,MRC-005,Document Submission,unmapped
VEN-INV-006,Vendor,INV,Inventory History,MRC-006,Location Setup,unmapped
VEN-INV-007,Vendor,INV,Hide Product,MRC-007,Payment Setup,unmapped
VEN-INV-008,Vendor,INV,Inventory Search,MRC-008,Catalog Setup,unmapped
VEN-CAT-001,Vendor,CAT,Create Category,MRC-001,Merchant Sign In,unmapped
VEN-CAT-002,Vendor,CAT,Edit Category,MRC-002,Sign Up,unmapped
VEN-CAT-003,Vendor,CAT,Category Ordering,MRC-003,Business Information,unmapped
VEN-CAT-004,Vendor,CAT,Category Visibility,MRC-004,Business Verification,unmapped
VEN-CAT-005,Vendor,CAT,Subcategory Management,MRC-005,Document Submission,unmapped
VEN-PRO-001,Vendor,PRO,Create Discount,MRC-001,Merchant Sign In,unmapped
VEN-PRO-002,Vendor,PRO,Happy Hour Offers,MRC-002,Sign Up,unmapped
VEN-PRO-003,Vendor,PRO,Featured Products,MRC-003,Business Information,unmapped
VEN-PRO-004,Vendor,PRO,Special Deals,MRC-004,Business Verification,unmapped
VEN-PRO-005,Vendor,PRO,Promotion Scheduling,MRC-005,Document Submission,unmapped
VEN-PRO-006,Vendor,PRO,Promotion Performance,MRC-006,Location Setup,unmapped
VEN-PRO-007,Vendor,PRO,Promotion History,MRC-007,Payment Setup,unmapped
VEN-CMP-001,Vendor,CMP,Available Campaigns,MRC-001,Merchant Sign In,unmapped
VEN-CMP-002,Vendor,CMP,Join Campaign,MRC-002,Sign Up,unmapped
VEN-CMP-003,Vendor,CMP,Campaign Performance,MRC-003,Business Information,unmapped
VEN-CMP-004,Vendor,CMP,Campaign History,MRC-004,Business Verification,unmapped
